Source,Target,Type,weight,book
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,5,1
Aegon-I-Targaryen,Eddard-Stark,Undirected,4,1
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,4,1
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,13,1
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,34,1
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,5,1
Aerys-II-Targaryen,Brandon-Stark,Undirected,4,1
Aerys-II-Targaryen,Eddard-Stark,Undirected,10,1
Aerys-II-Targaryen,Jaime-Lannister,Undirected,5,1
Aerys-II-Targaryen,Jon-Arryn,Undirected,3,1
Aerys-II-Targaryen,Robert-Baratheon,Undirected,12,1
Alliser-Thorne,Jeor-Mormont,Undirected,10,1
Alliser-Thorne,Jon-Snow,Undirected,32,1
Alliser-Thorne,Samwell-Tarly,Undirected,8,1
Alliser-Thorne,Tyrion-Lannister,Undirected,7,1
Arya-Stark,Benjen-Stark,Undirected,3,1
Arya-Stark,Bran-Stark,Undirected,14,1
Arya-Stark,Catelyn-Stark,Undirected,5,1
Arya-Stark,Cersei-Lannister,Undirected,12,1
Arya-Stark,Eddard-Stark,Undirected,30,1
Arya-Stark,Joffrey-Baratheon,Undirected,39,1
Arya-Stark,Jon-Snow,Undirected,37,1
Arya-Stark,Myrcella-Baratheon,Undirected,13,1
Arya-Stark,Petyr-Baelish,Undirected,3,1
Arya-Stark,Rickon-Stark,Undirected,7,1
Arya-Stark,Robb-Stark,Undirected,15,1
Arya-Stark,Robert-Baratheon,Undirected,8,1
Arya-Stark,Sandor-Clegane,Undirected,7,1
Arya-Stark,Sansa-Stark,Undirected,104,1
Arya-Stark,Tommen-Baratheon,Undirected,5,1
Balon-Greyjoy,Eddard-Stark,Undirected,3,1
Balon-Greyjoy,Robert-Baratheon,Undirected,4,1
Barristan-Selmy,Cersei-Lannister,Undirected,12,1
Barristan-Selmy,Eddard-Stark,Undirected,28,1
Barristan-Selmy,Jaime-Lannister,Undirected,4,1
Barristan-Selmy,Joffrey-Baratheon,Undirected,6,1
Barristan-Selmy,Jon-Arryn,Undirected,4,1
Barristan-Selmy,Petyr-Baelish,Undirected,7,1
Barristan-Selmy,Renly-Baratheon,Undirected,13,1
Barristan-Selmy,Robert-Baratheon,Undirected,40,1
Barristan-Selmy,Sandor-Clegane,Undirected,3,1
Barristan-Selmy,Sansa-Stark,Undirected,3,1
Barristan-Selmy,Varys,Undirected,9,1
Benjen-Stark,Bran-Stark,Undirected,6,1
Benjen-Stark,Cersei-Lannister,Undirected,3,1
Benjen-Stark,Jeor-Mormont,Undirected,9,1
Benjen-Stark,Jon-Snow,Undirected,41,1
Benjen-Stark,Mance-Rayder,Undirected,3,1
Benjen-Stark,Robb-Stark,Undirected,7,1
Benjen-Stark,Robert-Baratheon,Undirected,3,1
Benjen-Stark,Theon-Greyjoy,Undirected,4,1
Benjen-Stark,Tyrion-Lannister,Undirected,8,1
Benjen-Stark,Waymar-Royce,Undirected,3,1
Beric-Dondarrion,Eddard-Stark,Undirected,3,1
Beric-Dondarrion,Gregor-Clegane,Undirected,6,1
Beric-Dondarrion,Loras-Tyrell,Undirected,5,1
Beric-Dondarrion,Robert-Baratheon,Undirected,5,1
Beric-Dondarrion,Sansa-Stark,Undirected,4,1
Bran-Stark,Catelyn-Stark,Undirected,18,1
Bran-Stark,Cersei-Lannister,Undirected,6,1
Bran-Stark,Eddard-Stark,Undirected,19,1
Bran-Stark,Hodor,Undirected,29,1
Bran-Stark,Jeor-Mormont,Undirected,4,1
Bran-Stark,Joffrey-Baratheon,Undirected,3,1
Bran-Stark,Jon-Arryn,Undirected,7,1
Bran-Stark,Jon-Snow,Undirected,56,1
Bran-Stark,Petyr-Baelish,Undirected,3,1
Bran-Stark,Renly-Baratheon,Undirected,3,1
Bran-Stark,Rickard-Karstark,Undirected,4,1
Bran-Stark,Rickard-Stark,Undirected,4,1
Bran-Stark,Rickon-Stark,Undirected,32,1
Bran-Stark,Robb-Stark,Undirected,112,1
Bran-Stark,Robert-Baratheon,Undirected,11,1
Bran-Stark,Sansa-Stark,Undirected,10,1
Bran-Stark,Theon-Greyjoy,Undirected,23,1
Bran-Stark,Tommen-Baratheon,Undirected,5,1
Bran-Stark,Tyrion-Lannister,Undirected,31,1
Brandon-Stark,Eddard-Stark,Undirected,11,1
Brandon-Stark,Lyanna-Stark,Undirected,4,1
Brandon-Stark,Petyr-Baelish,Undirected,14,1
Brandon-Stark,Rickard-Stark,Undirected,3,1
Brandon-Stark,Robert-Baratheon,Undirected,5,1
Bronn,Catelyn-Stark,Undirected,6,1
Bronn,Tyrion-Lannister,Undirected,61,1
Bronn,Tywin-Lannister,Undirected,4,1
Brynden-Tully,Catelyn-Stark,Undirected,16,1
Brynden-Tully,Edmure-Tully,Undirected,3,1
Brynden-Tully,Hoster-Tully,Undirected,5,1
Brynden-Tully,Jaime-Lannister,Undirected,7,1
Brynden-Tully,Lysa-Arryn,Undirected,10,1
Brynden-Tully,Nestor-Royce,Undirected,3,1
Brynden-Tully,Robb-Stark,Undirected,9,1
Brynden-Tully,Theon-Greyjoy,Undirected,6,1
Brynden-Tully,Tyrion-Lannister,Undirected,4,1
Brynden-Tully,Tywin-Lannister,Undirected,3,1
Brynden-Tully,Walder-Frey,Undirected,3,1
Catelyn-Stark,Cersei-Lannister,Undirected,12,1
Catelyn-Stark,Eddard-Stark,Undirected,64,1
Catelyn-Stark,Edmure-Tully,Undirected,7,1
Catelyn-Stark,Hoster-Tully,Undirected,6,1
Catelyn-Stark,Jaime-Lannister,Undirected,9,1
Catelyn-Stark,Joffrey-Baratheon,Undirected,4,1
Catelyn-Stark,Jon-Arryn,Undirected,11,1
Catelyn-Stark,Jon-Snow,Undirected,14,1
Catelyn-Stark,Jon-Umber-(Greatjon),Undirected,4,1
Catelyn-Stark,Lysa-Arryn,Undirected,33,1
Catelyn-Stark,Nestor-Royce,Undirected,3,1
Catelyn-Stark,Petyr-Baelish,Undirected,22,1
Catelyn-Stark,Rickard-Karstark,Undirected,6,1
Catelyn-Stark,Rickon-Stark,Undirected,3,1
Catelyn-Stark,Robb-Stark,Undirected,49,1
Catelyn-Stark,Robert-Arryn,Undirected,3,1
Catelyn-Stark,Robert-Baratheon,Undirected,22,1
Catelyn-Stark,Sansa-Stark,Undirected,9,1
Catelyn-Stark,Stevron-Frey,Undirected,5,1
Catelyn-Stark,Theon-Greyjoy,Undirected,9,1
Catelyn-Stark,Tyrion-Lannister,Undirected,49,1
Catelyn-Stark,Tywin-Lannister,Undirected,7,1
Catelyn-Stark,Varys,Undirected,10,1
Catelyn-Stark,Walder-Frey,Undirected,13,1
Cersei-Lannister,Eddard-Stark,Undirected,69,1
Cersei-Lannister,Jaime-Lannister,Undirected,16,1
Cersei-Lannister,Joffrey-Baratheon,Undirected,42,1
Cersei-Lannister,Jon-Arryn,Undirected,7,1
Cersei-Lannister,Jon-Snow,Undirected,4,1
Cersei-Lannister,Myrcella-Baratheon,Undirected,7,1
Cersei-Lannister,Petyr-Baelish,Undirected,13,1
Cersei-Lannister,Renly-Baratheon,Undirected,5,1
Cersei-Lannister,Robert-Baratheon,Undirected,72,1
Cersei-Lannister,Sandor-Clegane,Undirected,5,1
Cersei-Lannister,Sansa-Stark,Undirected,29,1
Cersei-Lannister,Stannis-Baratheon,Undirected,5,1
Cersei-Lannister,Tommen-Baratheon,Undirected,4,1
Cersei-Lannister,Tyrion-Lannister,Undirected,27,1
Cersei-Lannister,Tywin-Lannister,Undirected,10,1
Cersei-Lannister,Varys,Undirected,19,1
Daenerys-Targaryen,Drogo,Undirected,101,1
Daenerys-Targaryen,Eddard-Stark,Undirected,5,1
Daenerys-Targaryen,Jorah-Mormont,Undirected,75,1
Daenerys-Targaryen,Rhaegar-Targaryen,Undirected,4,1
Daenerys-Targaryen,Robert-Baratheon,Undirected,11,1
Daenerys-Targaryen,Varys,Undirected,5,1
Daenerys-Targaryen,Viserys-Targaryen,Undirected,37,1
Drogo,Jorah-Mormont,Undirected,16,1
Drogo,Rhaego,Undirected,5,1
Drogo,Robert-Baratheon,Undirected,3,1
Drogo,Viserys-Targaryen,Undirected,19,1
Eddard-Stark,Edmure-Tully,Undirected,3,1
Eddard-Stark,Gregor-Clegane,Undirected,10,1
Eddard-Stark,Jaime-Lannister,Undirected,27,1
Eddard-Stark,Joffrey-Baratheon,Undirected,26,1
Eddard-Stark,Jon-Arryn,Undirected,47,1
Eddard-Stark,Jon-Snow,Undirected,38,1
Eddard-Stark,Loras-Tyrell,Undirected,12,1
Eddard-Stark,Lyanna-Stark,Undirected,19,1
Eddard-Stark,Lysa-Arryn,Undirected,12,1
Eddard-Stark,Petyr-Baelish,Undirected,81,1
Eddard-Stark,Renly-Baratheon,Undirected,33,1
Eddard-Stark,Rhaegar-Targaryen,Undirected,10,1
Eddard-Stark,Rickard-Karstark,Undirected,4,1
Eddard-Stark,Rickon-Stark,Undirected,4,1
Eddard-Stark,Robb-Stark,Undirected,16,1
Eddard-Stark,Robert-Baratheon,Undirected,291,1
Eddard-Stark,Sandor-Clegane,Undirected,10,1
Eddard-Stark,Sansa-Stark,Undirected,34,1
Eddard-Stark,Stannis-Baratheon,Undirected,18,1
Eddard-Stark,Theon-Greyjoy,Undirected,5,1
Eddard-Stark,Torrhen-Karstark,Undirected,5,1
Eddard-Stark,Tyrion-Lannister,Undirected,21,1
Eddard-Stark,Tywin-Lannister,Undirected,18,1
Eddard-Stark,Varys,Undirected,61,1
Edmure-Tully,Hoster-Tully,Undirected,7,1
Edmure-Tully,Jaime-Lannister,Undirected,4,1
Edmure-Tully,Lysa-Arryn,Undirected,5,1
Edmure-Tully,Petyr-Baelish,Undirected,4,1
Edmure-Tully,Robb-Stark,Undirected,5,1
Gregor-Clegane,Jaime-Lannister,Undirected,3,1
Gregor-Clegane,Loras-Tyrell,Undirected,10,1
Gregor-Clegane,Petyr-Baelish,Undirected,3,1
Gregor-Clegane,Robert-Baratheon,Undirected,4,1
Gregor-Clegane,Sandor-Clegane,Undirected,11,1
Gregor-Clegane,Sansa-Stark,Undirected,5,1
Gregor-Clegane,Tyrion-Lannister,Undirected,7,1
Gregor-Clegane,Tywin-Lannister,Undirected,6,1
Hodor,Robb-Stark,Undirected,5,1
Hoster-Tully,Lysa-Arryn,Undirected,3,1
Hoster-Tully,Robert-Baratheon,Undirected,3,1
Ilyn-Payne,Joffrey-Baratheon,Undirected,4,1
Ilyn-Payne,Loras-Tyrell,Undirected,3,1
Ilyn-Payne,Robert-Baratheon,Undirected,4,1
Ilyn-Payne,Sansa-Stark,Undirected,9,1
Ilyn-Payne,Varys,Undirected,5,1
Jaime-Lannister,Joffrey-Baratheon,Undirected,12,1
Jaime-Lannister,Jon-Arryn,Undirected,5,1
Jaime-Lannister,Kevan-Lannister,Undirected,4,1
Jaime-Lannister,Loras-Tyrell,Undirected,3,1
Jaime-Lannister,Lysa-Arryn,Undirected,6,1
Jaime-Lannister,Petyr-Baelish,Undirected,7,1
Jaime-Lannister,Renly-Baratheon,Undirected,4,1
Jaime-Lannister,Rickard-Karstark,Undirected,3,1
Jaime-Lannister,Robb-Stark,Undirected,9,1
Jaime-Lannister,Robert-Baratheon,Undirected,24,1
Jaime-Lannister,Sandor-Clegane,Undirected,12,1
Jaime-Lannister,Sansa-Stark,Undirected,3,1
Jaime-Lannister,Tyrion-Lannister,Undirected,36,1
Jaime-Lannister,Tywin-Lannister,Undirected,16,1
Jaime-Lannister,Varys,Undirected,3,1
Janos-Slynt,Joffrey-Baratheon,Undirected,4,1
Janos-Slynt,Petyr-Baelish,Undirected,3,1
Janos-Slynt,Robert-Baratheon,Undirected,4,1
Janos-Slynt,Sansa-Stark,Undirected,3,1
Jeor-Mormont,Jon-Snow,Undirected,81,1
Jeor-Mormont,Robert-Baratheon,Undirected,4,1
Jeor-Mormont,Samwell-Tarly,Undirected,8,1
Jeor-Mormont,Tyrion-Lannister,Undirected,23,1
Joffrey-Baratheon,Jon-Snow,Undirected,10,1
Joffrey-Baratheon,Loras-Tyrell,Undirected,3,1
Joffrey-Baratheon,Myrcella-Baratheon,Undirected,5,1
Joffrey-Baratheon,Petyr-Baelish,Undirected,11,1
Joffrey-Baratheon,Renly-Baratheon,Undirected,9,1
Joffrey-Baratheon,Robb-Stark,Undirected,19,1
Joffrey-Baratheon,Robert-Baratheon,Undirected,30,1
Joffrey-Baratheon,Sandor-Clegane,Undirected,24,1
Joffrey-Baratheon,Sansa-Stark,Undirected,87,1
Joffrey-Baratheon,Stannis-Baratheon,Undirected,7,1
Joffrey-Baratheon,Tommen-Baratheon,Undirected,8,1
Joffrey-Baratheon,Tyrion-Lannister,Undirected,13,1
Joffrey-Baratheon,Tywin-Lannister,Undirected,3,1
Joffrey-Baratheon,Varys,Undirected,7,1
Jon-Arryn,Lysa-Arryn,Undirected,12,1
Jon-Arryn,Petyr-Baelish,Undirected,4,1
Jon-Arryn,Robert-Baratheon,Undirected,32,1
Jon-Arryn,Stannis-Baratheon,Undirected,13,1
Jon-Arryn,Tyrion-Lannister,Undirected,5,1
Jon-Arryn,Varys,Undirected,5,1
Jon-Snow,Rickon-Stark,Undirected,11,1
Jon-Snow,Robb-Stark,Undirected,53,1
Jon-Snow,Robert-Baratheon,Undirected,18,1
Jon-Snow,Samwell-Tarly,Undirected,81,1
Jon-Snow,Sansa-Stark,Undirected,8,1
Jon-Snow,Theon-Greyjoy,Undirected,8,1
Jon-Snow,Tyrion-Lannister,Undirected,56,1
Jorah-Mormont,Rhaegar-Targaryen,Undirected,5,1
Jorah-Mormont,Robert-Baratheon,Undirected,3,1
Jorah-Mormont,Viserys-Targaryen,Undirected,15,1
Loras-Tyrell,Mace-Tyrell,Undirected,3,1
Loras-Tyrell,Petyr-Baelish,Undirected,5,1
Loras-Tyrell,Renly-Baratheon,Undirected,5,1
Loras-Tyrell,Robert-Baratheon,Undirected,4,1
Loras-Tyrell,Sandor-Clegane,Undirected,4,1
Loras-Tyrell,Sansa-Stark,Undirected,14,1
Lyanna-Stark,Robert-Baratheon,Undirected,9,1
Lyanna-Stark,Sansa-Stark,Undirected,4,1
Lysa-Arryn,Petyr-Baelish,Undirected,4,1
Lysa-Arryn,Robert-Arryn,Undirected,8,1
Lysa-Arryn,Robert-Baratheon,Undirected,5,1
Lysa-Arryn,Stannis-Baratheon,Undirected,4,1
Lysa-Arryn,Tyrion-Lannister,Undirected,25,1
Myrcella-Baratheon,Robert-Baratheon,Undirected,3,1
Myrcella-Baratheon,Sansa-Stark,Undirected,8,1
Myrcella-Baratheon,Tommen-Baratheon,Undirected,6,1
Petyr-Baelish,Renly-Baratheon,Undirected,12,1
Petyr-Baelish,Robert-Baratheon,Undirected,30,1
Petyr-Baelish,Sandor-Clegane,Undirected,3,1
Petyr-Baelish,Sansa-Stark,Undirected,8,1
Petyr-Baelish,Tyrion-Lannister,Undirected,11,1
Petyr-Baelish,Varys,Undirected,29,1
Pycelle,Renly-Baratheon,Undirected,7,1
Pycelle,Robert-Baratheon,Undirected,26,1
Pycelle,Sansa-Stark,Undirected,8,1
Pycelle,Stannis-Baratheon,Undirected,3,1
Pycelle,Tywin-Lannister,Undirected,4,1
Pycelle,Varys,Undirected,17,1
Randyll-Tarly,Samwell-Tarly,Undirected,5,1
Renly-Baratheon,Robb-Stark,Undirected,3,1
Renly-Baratheon,Robert-Baratheon,Undirected,42,1
Renly-Baratheon,Sandor-Clegane,Undirected,7,1
Renly-Baratheon,Sansa-Stark,Undirected,5,1
Renly-Baratheon,Stannis-Baratheon,Undirected,19,1
Renly-Baratheon,Tyrion-Lannister,Undirected,4,1
Renly-Baratheon,Varys,Undirected,9,1
Rhaegar-Targaryen,Robert-Baratheon,Undirected,22,1
Rhaegar-Targaryen,Sansa-Stark,Undirected,3,1
Rhaegar-Targaryen,Tywin-Lannister,Undirected,4,1
Rhaegar-Targaryen,Viserys-Targaryen,Undirected,5,1
Rickard-Karstark,Robb-Stark,Undirected,9,1
Rickard-Karstark,Roose-Bolton,Undirected,3,1
Rickon-Stark,Robb-Stark,Undirected,20,1
Rickon-Stark,Sansa-Stark,Undirected,8,1
Rickon-Stark,Tyrion-Lannister,Undirected,4,1
Robb-Stark,Robert-Baratheon,Undirected,6,1
Robb-Stark,Roose-Bolton,Undirected,6,1
Robb-Stark,Samwell-Tarly,Undirected,4,1
Robb-Stark,Sansa-Stark,Undirected,13,1
Robb-Stark,Theon-Greyjoy,Undirected,37,1
Robb-Stark,Torrhen-Karstark,Undirected,3,1
Robb-Stark,Tyrion-Lannister,Undirected,11,1
Robb-Stark,Tywin-Lannister,Undirected,9,1
Robb-Stark,Walder-Frey,Undirected,7,1
Robert-Baratheon,Sandor-Clegane,Undirected,9,1
Robert-Baratheon,Sansa-Stark,Undirected,26,1
Robert-Baratheon,Stannis-Baratheon,Undirected,21,1
Robert-Baratheon,Tommen-Baratheon,Undirected,3,1
Robert-Baratheon,Tyrion-Lannister,Undirected,18,1
Robert-Baratheon,Tywin-Lannister,Undirected,13,1
Robert-Baratheon,Varys,Undirected,36,1
Robert-Baratheon,Viserys-Targaryen,Undirected,7,1
Roose-Bolton,Tywin-Lannister,Undirected,4,1
Sandor-Clegane,Sansa-Stark,Undirected,23,1
Sandor-Clegane,Tyrion-Lannister,Undirected,5,1
Sansa-Stark,Stannis-Baratheon,Undirected,3,1
Sansa-Stark,Tyrion-Lannister,Undirected,3,1
Sansa-Stark,Varys,Undirected,4,1
Stannis-Baratheon,Tywin-Lannister,Undirected,4,1
Stannis-Baratheon,Varys,Undirected,5,1
Theon-Greyjoy,Tyrion-Lannister,Undirected,3,1
Theon-Greyjoy,Tywin-Lannister,Undirected,3,1
Theon-Greyjoy,Walder-Frey,Undirected,4,1
Tommen-Baratheon,Tyrion-Lannister,Undirected,3,1
Tyrion-Lannister,Tywin-Lannister,Undirected,40,1
Tyrion-Lannister,Varys,Undirected,3,1
Tywin-Lannister,Varys,Undirected,4,1
Tywin-Lannister,Walder-Frey,Undirected,8,1